date,lga_name,average_historical_occupancy,average_daily_rate
2023-05-12,Gold Coast,0.5882,309.2574
2023-05-13,Noosa,0.5562,339.8927
2023-05-13,Cairns,0.6177,237.9149
2023-05-13,Whitsunday,0.6557,350.5189
2023-05-13,Gold Coast,0.5911,309.6028
2023-05-14,Whitsunday,0.596,351.7132
2023-05-14,Noosa,0.5187,326.7379
2023-05-14,Cairns,0.5941,237.3425
2023-05-14,Gold Coast,0.528,268.4551
2023-05-15,Cairns,0.5611,231.4953
2023-05-15,Noosa,0.4506,319.6533
2023-05-15,Gold Coast,0.4966,263.311
2023-05-15,Whitsunday,0.537,344.9217
2023-05-16,Gold Coast,0.4986,267.0547
2023-05-16,Cairns,0.5702,233.2789
2023-05-16,Whitsunday,0.5263,350.7867
2023-05-16,Noosa,0.4408,319.1354
2023-05-17,Whitsunday,0.565,349.842
2023-05-17,Noosa,0.4351,318.2564
2023-05-17,Gold Coast,0.5176,267.9484
2023-05-17,Cairns,0.5895,234.3199
2023-05-18,Cairns,0.6235,241.1903
2023-05-18,Noosa,0.479,319.2293
2023-05-18,Whitsunday,0.6154,358.5217
2023-05-18,Gold Coast,0.5703,272.1485
2023-05-19,Cairns,0.6417,240.0678
2023-05-19,Noosa,0.538,336.4852
2023-05-19,Gold Coast,0.6369,318.5488
2023-05-19,Whitsunday,0.6782,367.9256
2023-05-20,Gold Coast,0.6624,321.0492
2023-05-20,Noosa,0.5529,334.1022
2023-05-20,Whitsunday,0.6844,362.4617
2023-05-20,Cairns,0.6693,241.5875
2023-05-21,Whitsunday,0.588,362.3686
2023-05-21,Cairns,0.6522,241.9596
2023-05-21,Gold Coast,0.5671,273.5131
2023-05-21,Noosa,0.4916,322.372
2023-05-22,Gold Coast,0.499,265.0707
2023-05-22,Noosa,0.4417,332.3003
2023-05-22,Cairns,0.61,236.815
2023-05-22,Whitsunday,0.5555,357.5509
2023-05-23,Gold Coast,0.4962,261.235
2023-05-23,Noosa,0.434,325.155
2023-05-23,Cairns,0.5954,237.674
2023-05-23,Whitsunday,0.5544,356.9985
2023-05-24,Whitsunday,0.538,361.2543
2023-05-24,Noosa,0.4335,332.9338
2023-05-24,Gold Coast,0.5068,261.5502
2023-05-24,Cairns,0.6122,244.3075
2023-05-25,Noosa,0.497,340.0303
2023-05-25,Whitsunday,0.5961,366.0126
2023-05-25,Cairns,0.631,249.531
2023-05-25,Gold Coast,0.5502,267.5476
2023-05-26,Noosa,0.661,355.5687
2023-05-26,Cairns,0.6488,252.6065
2023-05-26,Gold Coast,0.6094,312.1473
2023-05-26,Whitsunday,0.65,371.2316
2023-05-27,Noosa,0.6658,355.9146
2023-05-27,Gold Coast,0.6587,317.1758
2023-05-27,Cairns,0.6365,248.124
2023-05-27,Whitsunday,0.6612,362.0054
2023-05-28,Noosa,0.5152,337.8311
2023-05-28,Gold Coast,0.5588,271.5491
2023-05-28,Cairns,0.6224,248.534
2023-05-28,Whitsunday,0.5812,359.3029
2023-05-29,Gold Coast,0.507,265.1827
2023-05-29,Noosa,0.4324,328.5356
2023-05-29,Cairns,0.5916,241.2118
2023-05-29,Whitsunday,0.5181,352.8839
2023-05-30,Whitsunday,0.5154,356.4773
2023-05-30,Cairns,0.5751,237.0911
2023-05-30,Noosa,0.428,328.8608
2023-05-30,Gold Coast,0.4846,264.1254
2023-05-31,Cairns,0.5741,239.1085
2023-05-31,Gold Coast,0.4715,262.9248
2023-05-31,Whitsunday,0.493,366.376
2023-05-31,Noosa,0.4192,328.2129
2023-06-01,Noosa,0.463,325.9932
2023-06-01,Gold Coast,0.4944,260.517
2023-06-01,Cairns,0.5753,249.5702
2023-06-01,Whitsunday,0.5464,373.7354
2023-06-02,Whitsunday,0.6064,369.6019
