spend,cards_seen,no_txns,date,region,category
54782.18,1890,2129,27/03/2023,Whitsundays,TRANSPORTATION
41036.383,64,64,27/03/2023,Whitsundays,VEHICLE RENTAL
196741.48,3280,3683,27/03/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
3249.2188,193,278,27/03/2023,Whitsundays,PROFESSIONAL SERVICES
449070.8,4204,10661,27/03/2023,Whitsundays,HOTELS/MOTELS & RESORTS
42012.496,261,368,27/03/2023,Whitsundays,TRAVEL AGENCIES
192978.73,1391,2217,27/03/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
65436.82,585,811,27/03/2023,Whitsundays,ENTERTAINMENT
10719.305,215,283,27/03/2023,Whitsundays,EDUCATION & GOVERNMENT
6520.8457,55,72,27/03/2023,Whitsundays,TELECOM
13790.627,334,441,27/03/2023,Whitsundays,BUSINESS TO BUSINESS
44817.76,443,626,27/03/2023,Whitsundays,RETAIL SERVICES
147347.27,1876,2387,27/03/2023,Whitsundays,DISCOUNT & VARIETY STORES
236807.66,1973,3226,27/03/2023,Whitsundays,RETAIL STORES
87430,1853,1909,27/03/2023,Whitsundays,HEALTH CARE & DRUG STORE
136736.88,5534,5844,27/03/2023,Whitsundays,FAST FOOD RESTAURANTS
857574.7,13142,19488,27/03/2023,Whitsundays,FOOD & GROCERY
112974.72,1278,1429,27/03/2023,Whitsundays,RETAIL GOODS
571558.75,7058,14719,27/03/2023,Whitsundays,RESTAURANTS
411359.34,6913,6879,27/03/2023,Whitsundays,FUEL
233151.22,3325,6207,27/03/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
405781.16,3973,4543,29/07/2024,Whitsundays,RETAIL GOODS
1013591.2,17370,28929,29/07/2024,Whitsundays,RESTAURANTS
63801.65,110,119,29/07/2024,Whitsundays,TRAVEL AGENCIES
168341.53,1175,2099,29/07/2024,Whitsundays,RETAIL SERVICES
201392.4,3367,6403,29/07/2024,Whitsundays,AUTOMOTIVE
95825.57,1281,1174,29/07/2024,Whitsundays,EDUCATION & GOVERNMENT
280739.5,4213,6241,29/07/2024,Whitsundays,HEALTH CARE & DRUG STORE
48198.84,786,1033,29/07/2024,Whitsundays,PROFESSIONAL SERVICES
833185.1,8240,14072,29/07/2024,Whitsundays,HOTELS/MOTELS & RESORTS
101522.17,1233,1870,29/07/2024,Whitsundays,ENTERTAINMENT
28695.389,279,273,29/07/2024,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
463030.5,8021,14585,29/07/2024,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
869332.44,10861,13809,29/07/2024,Whitsundays,FUEL
490365.44,2548,4208,29/07/2024,Whitsundays,HOME IMPROVEMENT & SUPPLY
90050.09,3227,3609,29/07/2024,Whitsundays,TRANSPORTATION
424197.88,4287,5049,29/07/2024,Whitsundays,RETAIL STORES
204734.1,3696,5634,29/07/2024,Whitsundays,DISCOUNT & VARIETY STORES
31717.256,826,1040,29/07/2024,Whitsundays,BUSINESS TO BUSINESS
432198.84,6941,8451,29/07/2024,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
1552237.8,21570,40575,29/07/2024,Whitsundays,FOOD & GROCERY
95548.91,1566,1692,29/07/2024,Whitsundays,TOURIST ATTRACTIONS
229730.8,9408,10654,29/07/2024,Whitsundays,FAST FOOD RESTAURANTS
97879.29,169,155,29/07/2024,Whitsundays,VEHICLE RENTAL
91598.516,521,512,16/01/2023,Whitsundays,BUSINESS TO BUSINESS
379410.97,2667,3704,16/01/2023,Whitsundays,EDUCATION & GOVERNMENT
561301.7,12539,22062,16/01/2023,Whitsundays,FAST FOOD RESTAURANTS
179538.81,582,988,16/01/2023,Whitsundays,TRAVEL AGENCIES
3731672.8,25475,60576,16/01/2023,Whitsundays,FOOD & GROCERY
423241.9,4043,8179,16/01/2023,Whitsundays,AUTOMOTIVE
614058.94,6968,9247,16/01/2023,Whitsundays,RETAIL STORES
672250.56,4527,6426,16/01/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
534756.5,6283,5614,16/01/2023,Whitsundays,RETAIL GOODS
1942597.1,8404,33587,16/01/2023,Whitsundays,HOTELS/MOTELS & RESORTS
1500673.9,14994,41868,16/01/2023,Whitsundays,RESTAURANTS
233263.19,2849,4468,16/01/2023,Whitsundays,TOURIST ATTRACTIONS
41297.383,87,107,16/01/2023,Whitsundays,VEHICLE RENTAL
30771.545,223,318,16/01/2023,Whitsundays,TELECOM
25586.127,659,759,16/01/2023,Whitsundays,PROFESSIONAL SERVICES
1108813,15556,26209,16/01/2023,Whitsundays,FUEL
480835.12,8305,10561,16/01/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
32100.447,193,243,16/01/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
684490.5,6815,20645,16/01/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
224457.7,2193,2713,16/01/2023,Whitsundays,RETAIL SERVICES
206931.45,1545,1869,16/01/2023,Whitsundays,ENTERTAINMENT
791159.8,9304,12327,16/01/2023,Whitsundays,HEALTH CARE & DRUG STORE
117704.984,2981,4604,16/01/2023,Whitsundays,TRANSPORTATION
354465.7,6663,7969,16/01/2023,Whitsundays,DISCOUNT & VARIETY STORES
475285.6,16272,28253,10/07/2023,Whitsundays,FAST FOOD RESTAURANTS
699615.5,9896,22946,10/07/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
31472.385,355,332,10/07/2023,Whitsundays,TELECOM
107812.95,1968,1823,10/07/2023,Whitsundays,BUSINESS TO BUSINESS
123575.69,710,876,10/07/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
573140.44,7026,8094,10/07/2023,Whitsundays,AUTOMOTIVE
1784854.6,17666,31912,10/07/2023,Whitsundays,FUEL
921433.2,6115,8619,10/07/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
766659.06,7414,12685,10/07/2023,Whitsundays,RETAIL STORES
2088378.4,19852,62586,10/07/2023,Whitsundays,RESTAURANTS
300352.8,3503,5190,10/07/2023,Whitsundays,TOURIST ATTRACTIONS
262423.9,3017,2718,10/07/2023,Whitsundays,RETAIL SERVICES
260582.42,2481,2266,10/07/2023,Whitsundays,EDUCATION & GOVERNMENT
1995982.9,13756,39525,10/07/2023,Whitsundays,HOTELS/MOTELS & RESORTS
65357.457,1149,1654,10/07/2023,Whitsundays,PROFESSIONAL SERVICES
150544.28,5467,6982,10/07/2023,Whitsundays,TRANSPORTATION
