date,lga_name,average_historical_occupancy,average_daily_rate,date,lga_name,average_length_of_stay,average_booking_window,,
2023-02-23,Noosa,0.6222,335.3218,2023-02-23,Noosa,2.7995,25.8589,,1
2023-02-23,Whitsunday,0.5784,340.4028,2023-02-23,Whitsunday,3.3333,44.5362,,1
2023-02-24,Cairns,0.5121,221.36,2023-02-24,Cairns,3.5384,34.47,,1
2023-02-24,Gold Coast,0.6629,319.1458,2023-02-24,Gold Coast,3.4233,39.6106,,1
2023-02-24,Noosa,0.6275,351.1025,2023-02-24,Noosa,3.3694,44.3364,,1
2023-02-24,Whitsunday,0.6207,348.0892,2023-02-24,Whitsunday,3.2058,48.5529,,1
2023-02-25,Cairns,0.5532,224.9966,2023-02-25,Cairns,2.869,23.2103,,1
2023-02-25,Gold Coast,0.7116,324.1092,2023-02-25,Gold Coast,3.5739,41.8776,,1
2023-02-25,Noosa,0.7102,352.9846,2023-02-25,Noosa,3.3904,30.1083,,1
2023-02-25,Whitsunday,0.627,349.1897,2023-02-25,Whitsunday,2.5891,34.9534,,1
2023-02-26,Cairns,0.5053,218.9067,2023-02-26,Cairns,3.8206,31.6367,,1
2023-02-26,Gold Coast,0.5987,283.6305,2023-02-26,Gold Coast,5.5324,46.1698,,1
2023-02-26,Noosa,0.5584,334.6732,2023-02-26,Noosa,3.7341,36.6388,,1
2023-02-26,Whitsunday,0.5319,342.8755,2023-02-26,Whitsunday,3.9782,33.0108,,1
2023-02-27,Cairns,0.4912,211.7345,2023-02-27,Cairns,3.9913,26.2554,,1
2023-02-27,Gold Coast,0.6139,279.332,2023-02-27,Gold Coast,3.9968,51.3065,,1
2023-02-27,Noosa,0.5041,334.9224,2023-02-27,Noosa,3.9618,38.7786,,1
2023-02-27,Whitsunday,0.5116,349.3483,2023-02-27,Whitsunday,4.536,36.36,,1
2023-02-28,Cairns,0.4946,213.001,2023-02-28,Cairns,3.6806,22.9747,,1
2023-02-28,Gold Coast,0.6547,285.2743,2023-02-28,Gold Coast,3.685,43.9635,,1
2023-02-28,Noosa,0.5045,332.1227,2023-02-28,Noosa,3.6556,23.586,,1
2023-02-28,Whitsunday,0.5038,341.4415,2023-02-28,Whitsunday,3.5051,37.3711,,1
2023-03-01,Cairns,0.4862,212.6306,2023-03-01,Cairns,9.8364,57.368,,1
2023-03-01,Gold Coast,0.5722,282.8221,2023-03-01,Gold Coast,12.1613,53.9016,,1
2023-03-01,Noosa,0.4933,326.1064,2023-03-01,Noosa,11.5571,61.7624,,1
2023-03-01,Whitsunday,0.4933,351.2558,2023-03-01,Whitsunday,10.3305,51.0338,,1
2023-03-02,Cairns,0.5043,218.5524,2023-03-02,Cairns,4.4896,32.6721,,1
2023-03-02,Gold Coast,0.5644,284.2151,2023-03-02,Gold Coast,4.7329,35.2967,,1
2023-03-02,Noosa,0.528,331.0152,2023-03-02,Noosa,4.6237,61.5082,,1
2023-03-02,Whitsunday,0.5429,349.2802,2023-03-02,Whitsunday,4.5038,39.0992,,1
2023-03-03,Cairns,0.5215,222.8482,2023-03-03,Cairns,4.0826,26.4566,,1
2023-03-03,Gold Coast,0.6235,315.052,2023-03-03,Gold Coast,4.2723,36.5955,,1
2023-03-03,Noosa,0.6063,343.2149,2023-03-03,Noosa,3.1004,49.4429,,1
2023-03-03,Whitsunday,0.5763,343.5207,2023-03-03,Whitsunday,3.3375,53.6496,,1
2023-03-04,Cairns,0.5379,219.0778,2023-03-04,Cairns,5.6846,32.6936,,1
2023-03-04,Gold Coast,0.6525,317.1811,2023-03-04,Gold Coast,3.8759,35.5885,,1
2023-03-04,Noosa,0.6162,337.814,2023-03-04,Noosa,3.5129,36.8856,,1
2023-03-04,Whitsunday,0.6082,354.9299,2023-03-04,Whitsunday,3.6324,31.6581,,1
2023-03-05,Cairns,0.5285,217.4426,2023-03-05,Cairns,4.7288,44.1955,,1
2023-03-05,Gold Coast,0.5755,280.8451,2023-03-05,Gold Coast,5.4401,33.5519,,1
2023-03-05,Noosa,0.5444,328.6128,2023-03-05,Noosa,4.6183,36.166,,1
2023-03-05,Whitsunday,0.5754,345.9102,2023-03-05,Whitsunday,3.2566,38.3185,,1
2023-03-06,Cairns,0.4953,216.8087,2023-03-06,Cairns,4.2388,37.6766,,1
2023-03-06,Gold Coast,0.5366,277.8226,2023-03-06,Gold Coast,5.5733,40.3314,,1
2023-03-06,Noosa,0.5,325.5184,2023-03-06,Noosa,4.977,45.4559,,1
2023-03-06,Whitsunday,0.5151,344.0948,2023-03-06,Whitsunday,3.909,35.7,,1
2023-03-07,Cairns,0.5043,217.4517,2023-03-07,Cairns,4.947,32.3862,,1
2023-03-07,Gold Coast,0.5285,281.5584,2023-03-07,Gold Coast,5.4092,32.2758,,1
2023-03-07,Noosa,0.5034,331.9215,2023-03-07,Noosa,4.9766,49.3084,,1
2023-03-07,Whitsunday,0.5056,351.0753,2023-03-07,Whitsunday,3.1397,41.7204,,1
2023-03-08,Cairns,0.5061,214.7045,2023-03-08,Cairns,3.9903,32.9323,,1
2023-03-08,Gold Coast,0.5472,281.5218,2023-03-08,Gold Coast,4.107,36.9673,,1
2023-03-08,Noosa,0.5152,332.6883,2023-03-08,Noosa,4.0714,40.9705,,1
2023-03-08,Whitsunday,0.5056,350.2717,2023-03-08,Whitsunday,3.4747,48.707,,1
2023-03-09,Cairns,0.521,222.7556,2023-03-09,Cairns,5.7894,36.8866,,1
2023-03-09,Gold Coast,0.5932,285.6238,2023-03-09,Gold Coast,3.7165,35.9291,,1
2023-03-09,Noosa,0.5724,340.377,2023-03-09,Noosa,3.3591,45.4252,,1
2023-03-09,Whitsunday,0.5657,359.961,2023-03-09,Whitsunday,3.6597,50.0763,,1
2023-03-10,Cairns,0.5576,228.9069,2023-03-10,Cairns,4.5105,30.9929,,1
2023-03-10,Gold Coast,0.6605,321.5302,2023-03-10,Gold Coast,2.8642,35.619,,1
2023-03-10,Noosa,0.6314,353.5206,2023-03-10,Noosa,3.2181,43.6431,,1
2023-03-10,Whitsunday,0.6379,363.5796,2023-03-10,Whitsunday,4.6511,58.2732,,1
2023-03-11,Cairns,0.5625,226.1401,2023-03-11,Cairns,3.9013,31.3991,,1
2023-03-11,Gold Coast,0.6815,328.6916,2023-03-11,Gold Coast,3.5872,34.0423,,1
2023-03-11,Noosa,0.6486,355.563,2023-03-11,Noosa,3.3958,42.2534,,1
2023-03-11,Whitsunday,0.6677,360.138,2023-03-11,Whitsunday,4.1418,53.2905,,1
2023-03-12,Cairns,0.5507,218.433,2023-03-12,Cairns,4.3955,25.8044,,1
2023-03-12,Gold Coast,0.6,287.945,2023-03-12,Gold Coast,4.6312,38.3508,,1
2023-03-12,Noosa,0.5581,337.9633,2023-03-12,Noosa,3.7418,41.3381,,1
